text,label
You should jump off a bridge.,abuse
The Weather is really beautiful.,clean
My friend enjoy working here.,clean
This damn is broken.,profanity
Your mom are a complete moron.,abuse
uninstall the game lmaooo,spam_toxic
I am so assholeing tired.,profanity
LMAO UR TRASH LMAO UR TRASH,spam_toxic
The New Update is really beautiful.,clean
I hope He dies.,abuse
LMAO UR TRASH lmaooo,spam_toxic
This guy should jump off a bridge.,abuse
The company think about the movie.,clean
The company will visit the new update.,clean
What the fuck is this?,profanity
"I hate hispanics, they deserve to die.",hate_speech
He's a complete crappy.,profanity
The OP should jump off a bridge.,abuse
What the bullshit is this?,profanity
That was a crappying disaster.,profanity
She think about the food.,clean
This shit is broken.,profanity
That Book is really interesting.,clean
That was a shiting disaster.,profanity
That was a craping disaster.,profanity
"Such parasites, typical of whites.",hate_speech
UR SO BAD HAHAHA!!!,spam_toxic
"Go kill yourself, Your mom!",abuse
This guy are a complete coward.,abuse
The OP are a complete failure.,abuse
"Go kill yourself, The author!",abuse
We need to get rid of immigrants.,hate_speech
The company heard about this new song.,clean
Working Here is really amazing.,clean
Your mom are a complete dumbass.,abuse
We need to get rid of christians.,hate_speech
uninstall the game!!!,spam_toxic
uninstall the game x100,spam_toxic
hahaha uninstall the game,spam_toxic
He's a complete crappy.,profanity
hahaha KYS,spam_toxic
"I hate jews, they are a disease.",hate_speech
We saw working here.,clean
He should jump off a bridge.,abuse
I hope You dies.,abuse
KYS x100,spam_toxic
This shit is broken.,profanity
We need to get rid of immigrants.,hate_speech
We need to get rid of hispanics.,hate_speech
I am so crappying tired.,profanity
muslims are a disease.,hate_speech
KYS KYS,spam_toxic
She will visit the movie.,clean
hahaha KYS,spam_toxic
Holy asshole!,profanity
hahaha ez pz get rekt,spam_toxic
Shut up you absolute loser.,abuse
cry more kid lmaooo,spam_toxic
cry more kid lmaooo,spam_toxic
What the bitch is this?,profanity
I went to this new song.,clean
He will visit working here.,clean
asians should be killed.,hate_speech
This guy should jump off a bridge.,abuse
I hope You dies.,abuse
"Such inferiors, typical of whites.",hate_speech
I don't give a motherfucker.,profanity
"I hate gays, they belong in jail.",hate_speech
NOOB NOOB NOOB x100,spam_toxic
hahaha NOOB NOOB NOOB,spam_toxic
I don't give a fuck.,profanity
Holy bullshit!,profanity
ez pz get rekt ez pz get rekt,spam_toxic
We need to get rid of whites.,hate_speech
SPAM SPAM SPAM!!!,spam_toxic
SPAM SPAM SPAM!!!,spam_toxic
Shut up you absolute moron.,abuse
We think about the movie.,clean
Are you fuckinging kidding me?,profanity
This New Song is really interesting.,clean
Are you fucking kidding me?,profanity
Just my asshole luck.,profanity
"Go kill yourself, The author!",abuse
The author should jump off a bridge.,abuse
Shut up you absolute idiot.,abuse
SPAM SPAM SPAM x100,spam_toxic
Your mom are a complete coward.,abuse
hahaha UR SO BAD HAHAHA,spam_toxic
"I hate christians, they belong in jail.",hate_speech
Working Here is really nice.,clean
The Match is really beautiful.,clean
hahaha SPAM SPAM SPAM,spam_toxic
The Movie is really good.,clean
We need to get rid of blacks.,hate_speech
